key,ko,en,jp
HOME_TITLE,NFT 프로젝트 허브를 위한 토큰,,
FOOTER_DESC,"주식회사 디에스씨레이블 | 대표이사 :권태홍 | 사업자번호 :838-86-02498 | 개인정보보호책임자:권태홍\n주소: 서울특별시 성동구 아차산로 5길 26, 802호 | support@dsclabel.co.kr","주식회사 디에스씨레이블 | 대표이사 :권태홍 | 사업자번호 :838-86-02498 | 개인정보보호책임자:권태홍\n주소: 서울특별시 성동구 아차산로 5길 26, 802호 | support@dsclabel.co.kr","주식회사 디에스씨레이블 | 대표이사 :권태홍 | 사업자번호 :838-86-02498 | 개인정보보호책임자:권태홍\n주소: 대전광역시 유성구 대학로 82, 5층 505호 | support@dsclabel.co.kr"
HOME_OVERVIEW_TITLE1,1믹스 가격,,
HOME_OVERVIEW_TITLE2,믹스 발행량,,
HOME_OVERVIEW_TITLE3,믹스 소각풀,,
HOME_DESC1,"MIX는 NFT 프로젝트들의 허브를 위한 토큰입니다.\nDSC 사이트의 전 범위에서 사용되며, Klayswap에서 유동성 공급 및 거래에 사용될 예정입니다.\n또한 MIX를 활용한 기능을 추가하기로 약속한 파트너 프로젝트의 서비스에서도 사용될 예정입니다.",,
HOME_BUY_MIX_BUTTON,믹스 구매하기,,
HOME_WHITEPAPER_BUTTON,백서 보기,,
HOME_ADD_MIX_BUTTON,MIX 지갑에 추가하기,,
HOME_POOL_TITLE,풀 정보,,
HOME_POOL_TITLE1,메이트 풀,,
HOME_POOL_DESC1,"메이트 홀더들은 DSC 커뮤니티의 가장 적극적인 사용자들로, 메이트를 보유하고 있으면 MIX를 분배받게 됩니다. 메이트 홀더들은 쌓여진 MIX를 인출하기 위해 쌓여진 MIX 수량의 10%를 선납해야합니다. 이를 통해 MIX의 유통량이 늘어납니다.",,
HOME_POOL_TITLE2,파트너 풀,,
HOME_POOL_DESC2,파트너 풀은 MIX 커뮤니티와 파트너십을 맺은 프로젝트들에 할당되는 풀입니다. 해당 프로젝트들은 MIX를 활용하는 기능들을 지속적으로 추가할 예정입니다. 인출 방식은 메이트와 동일합니다.,,
HOME_POOL_TITLE3,Klayswap 유동성 풀,,
HOME_POOL_DESC3,"Klayswap의 유동성 풀에 발행량 중 일부를 할당합니다. 이를 통해 Klayswap 내 MIX 풀의 APR을 상승시켜, MIX 토큰이 더 큰 유동성을 갖도록 만듭니다. 풀은 Klay-MIX LP 및 KSP-MIX LP, 두 가지가 있습니다.",,
HOME_POOL_TITLE4,Dev Fund,,
HOME_POOL_DESC4,개발 펀드는 개발 및 마케팅 등 MIX의 활용처를 늘리고 주어진 목표를 달성하는 책임을 이행할 수 있도록 합니다.,,
GOVERNANCE_TITLE,MIX 거버넌스,,
GOVERNANCE_DESC1,MIX를 위한 제안을 적극 환영합니다,,
GOVERNANCE_BUTTON,제안 생성,,
GOVERNANCE_ALERT,MIX 백서 v2 실행이 완료될 때 까지 거버넌스 제안 생성이 불가능합니다,,
GOVERNANCE_PROPOSE_TITLE,제안하기,,
GOVERNANCE_PROPOSE_TITLE1,제목,,
GOVERNANCE_PROPOSE_INPUT1,제안 제목을 입력하세요.,,
GOVERNANCE_PROPOSE_TITLE2,요약,,
GOVERNANCE_PROPOSE_INPUT2,제안의 핵심적인 부분만 적어주세요.,,
GOVERNANCE_PROPOSE_TITLE3,본문,,
GOVERNANCE_PROPOSE_INPUT3,제안을 설명해주세요.,,
GOVERNANCE_PROPOSE_TITLE4,비고,,
GOVERNANCE_PROPOSE_INPUT4,비고를 적어주세요.,,
GOVERNANCE_PROPOSE_TITLE5,제안자,,
GOVERNANCE_PROPOSE_INPUT5,제안자를 적어주세요.,,
GOVERNANCE_PROPOSE_TITLE6,NFT 이름,,
GOVERNANCE_PROPOSE_INPUT6,NFT이름을 적어주세요.,,
GOVERNANCE_PROPOSE_TITLE7,제안NFT,,
GOVERNANCE_PROPOSE_INPUT7,제안 NFT를 적어주세요.,,
GOVERNANCE_PROPOSE_CHECKBOX,"NFT 프로젝트들 중에 MIX 분배 풀에 들어오고싶은 NFT 프로젝트는 언제든 거버넌스에 제안할 수 있습니다. 제안을 위해서는 vMIX 0.1%를 보유하고 있어야 하며, 1,000 MIX가 소모됩니다. 제안을 통과하기 위한 최소 참여 기준은 vMIX 30% 이상입니다.",,
GOVERNANCE_PROPOSE_BUTTON,생성하기,,
GOVERNANCE_PROPOSE_POPUP_TITLE,제안하기,,
GOVERNANCE_PROPOSE_POPUP_DESC,제안을 등록하시겠습니까? 제안 후에는 내용을 수정할 수 없사오니 다시 한 번 확인해주시기 바랍니다.,,
GOVERNANCE_PROPOSE_POPUP_BUTTON,제안 등록,,
GOVERNANCE_PROPOSAL_TITLE1,제안자,,
GOVERNANCE_PROPOSAL_TITLE2,기간,,
